user,item,rating
user193,Bánh Cuốn Ba Miền - Trường Chinh,7.6
user193,Cá Viên Chiên 176 - Trần Thiện Chánh,7.6
user193,Mì Trộn Tên Lửa - 462 Trần Hưng Đạo,7.6
user194,The Pizza Company - Đường D2,6.0
user195,Quán 79 Nem Nướng,1.2
user196,Tiệm Bánh Mỹ Phụng,3.4
user197,KOI Thé - Võ Văn Ngân,1.0
user198,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,9.6
user198,Trà Sữa Wozzi,4.0
user199,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",3.6
user200,TOUS les JOURS - Nguyễn Thị Minh Khai,10.0
user201,Cơm Tấm Cô Hoa - Ngô Quyền,1.0
user202,Gà Rán KFC - Central Plaza,4.2
user203,Chị Mai - Bánh Tráng Trộn & Nước Cam,9.6
user204,Súp Cua Nhà Thờ Đức Bà,6.8
user205,Mì Trộn Tên Lửa - 462 Trần Hưng Đạo,5.0
user206,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,10.0
user207,Gà Rán & Burger McDonald’s Vincom Masteri,4.4
user208,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,4.2
user209,SOI THÁI - Cống Quỳnh,4.8
user210,Cơm Tấm Cô Hoa - Ngô Quyền,6.4
user211,Cơm Tấm Kiều Giang - Trần Quang Khải,7.8
user212,Kebaby - Doner Kebab,9.8
user213,Cơm Tấm Tú Mập - Đồng Đen,4.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - 2 Miếng Gà Xốt Mắm Tỏi,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO 2 NGƯỜI 124K,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM VỊ,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM ĐÀ,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Mắm Tỏi,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Viên Nanban,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Phi-lê Gà Quay,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Burger Tôm,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Mì Ý,6.0
user214,SteakZone,10.0
user215,The Pizza Company - Đường D2,9.2
user216,Kebaby - Doner Kebab,10.0
user217,Phở 24 - Nguyễn Tri Phương,7.6
user218,Gà Nướng Anh Tư,8.0
user219,Chè HongKong - 港式糖水 - Phan Phú Tiên,5.0
user219,Chè Thái Út Lyly,5.0
user219,SteakZone,5.0
user220,The Pizza Company - Đường D2,1.0
user221,Chị Mai - Bánh Tráng Trộn & Nước Cam,9.4
user222,Kebab Sài Gòn - Nguyễn Thượng Hiền,4.6
user223,Ốc Tô - Xóm Chiếu,5.6
user224,Cheese Coffee - Hồng Bàng,4.6
user225,Bún Riêu & Canh Bún - Phan Đình Phùng,6.2
user226,Moon Fast Food - Món Hàn - Trường Chinh,7.6
user227,Cơm Tấm Cô Hoa - Ngô Quyền,3.6
user227,Moon Fast Food - Món Hàn - Trường Chinh,5.8
user228,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,7.4
user229,Bà Hai - Bánh Xèo & Bánh Khọt,1.8
user230,Trà Sữa Tiên Hưởng Gotcha - Huỳnh Mẫn Đạt,1.0
user231,Phá Lấu Rubi - Nguyễn Hồng Đào,7.0
user232,Trà Sữa Panda Milktea,6.0
user233,Cháo Sườn Bé Hiền - Súp Cua & Bún Bò,5.4
user234,Chè Hà Ký - Châu Văn Liêm,1.0
user235,Tiệm Cô Béo Bún Thái Lan,8.4
